Cert Insights Monthly From (1 May 2025 to 31 May 2025)
Partner,Slug,Name,TotalUniqueEarnedCertificate,TotalUniqueCertAddedToProfile
"Jack Welch Management Institute","operations-management-professional-certificate-by-jack-welch-management-institute","Operations Management Professional Certificate by Jack Welch Management Institute",314,226
"Microsoft-German","grundwissen-fur-administrative-tatigkeiten-bereitgestellt-von-microsoft-und-linkedin","Grundwissen fur administrative Tatigkeiten bereitgestellt von Microsoft und LinkedIn",10,0
"Microsoft","human-skills-in-the-age-of-ai-by-microsoft-and-linkedin","Human Skills in the Age of AI by Microsoft and LinkedIn",265,154
"Oracle","oracle-cloud-database-migration-and-integration-2022-professional-workshop","Oracle Cloud Database Migration and Integration 2022 Professional Workshop",1,0
"CSCMP","cscmp-supply-chain-foundations-customer-relationship-management-professional-certificate","CSCMP Supply Chain Foundations: Customer Relationship Management Professional Certificate",78,49
"Adobe","essential-skills-in-adobe-illustrator-professional-certificate","Essential Skills in Adobe Illustrator Professional Certificate",18,0
"Canonical","ubuntu-linux-professional-certificate-by-canonical","Ubuntu Linux Professional Certificate by Canonical",126,81
"OpenEDG-C++ Institute","c-plus-plus-programming-professional-certificate-by-openedg-c-plus-plus-institute","C++ Programming Professional Certificate by OpenEDG C++ Institute",50,31
"Microsoft-French","preparer-votre-carriere-dans-l-ia-generative-par-microsoft-et-linkedin","Preparer votre carriere dans l IA generative par Microsoft et LinkedIn",50,0
"Microsoft-Mandarin","30f796ba-358e-3f22-98d3-e0cc363d928c","可持续技术职业技能基础知识（微软与领英联合制作",2,0
"Microsoft-Spanish","inteligencia-artificial-para-lideres-empresariales-por-microsoft-y-linkedin","Inteligencia artificial para líderes empresariales por Microsoft y LinkedIn",72,5
"Github","career-essentials-in-github-professional-certificate","Career Essentials in GitHub Professional Certificate",446,305
"Microsoft-Chinese","35c97a5d-11af-39e3-9374-7f9474d0ea69","面向管理者的人工智能基础知识 (微软与领英联合制作)",7,1
"Oracle","oracle-cloud-infrastructure-foundations-15531590","Oracle Cloud Infrastructure Foundations",3,81
"Oracle","oracle-cloud-infrastructure-architect-associate-19714780","Oracle Cloud Infrastructure Architect Associate",0,11
"Microsoft-French","preparer-votre-carriere-dans-les-technologies-durables-par-microsoft-et-linkedin","Preparer votre carriere dans les technologies durables par Microsoft et LinkedIn",13,0
"Microsoft-Mandarin","27534108-d08b-3576-9208-59c8487e6bfa","使用生成式 AI 提升你的工作效率（微软与领英联合制作",11,0
"MongoDB","prepare-for-the-mongodb-java-developer-associate-certification","Prepare for the MongoDB Java Developer Associate Certification",4,0
"Microsoft-French","preparer-votre-carriere-dans-l-administration-systeme-par-microsoft-et-linkedin","Preparer votre carriere dans l administration systeme par Microsoft et LinkedIn",32,0
"Microsoft-German","ki-fur-die-leitungsebene-bereitgestellt-von-microsoft-und-linkedin","KI für die Leitungsebene, bereitgestellt von Microsoft und LinkedIn",8,2
"Microsoft-Japanese","184c22ff-0371-3aca-90ac-db76e22a7eaf","プロジェクトマネジメントの基礎知識 by Microsoft x LinkedIn",5,1
"Microsoft-Japanese","d4a4d3c7-95e3-39af-a3eb-c5907fbd759a","マネージャーのためのAI 講座 by Microsoft x LinkedIn",7,1
"Microsoft-German","grundwissen-business-analyse-bereitgestellt-von-microsoft-und-linkedin","Grundwissen Business-Analyse bereitgestellt von Microsoft und LinkedIn",12,0
"Microsoft-Portugese","fundamentos-para-uma-carreira-em-ciberseguranca-por-microsoft-e-linkedin","Fundamentos para uma Carreira em Cibersegurança por Microsoft e LinkedIn",20,1
"DevOps Institute","devops-institute-cert-prep-sre-foundation-sre","DevOps Institute Cert Prep: SRE Foundation (SRE)",122,16
"Microsoft-German","grundwissen-projektmanagement-bereitgestellt-von-microsoft-und-linkedin","Grundwissen Projektmanagement bereitgestellt von Microsoft und LinkedIn",40,0
"Linkedin","linkedin-recruiter-and-ai-driven-talent-acquisition-professional-certificate-by-linkedin-learning","LinkedIn Recruiter and AI-Driven Talent Acquisition Professional Certificate by LinkedIn Learning",233,137
"Microsoft-Mandarin","82c5f802-5215-36d2-a105-fda88d624d65","软件开发职业技能基础 (微软与领英联合制作)",3,0
"Microsoft-Mandarin","6a85f615-42b0-3016-a976-369bc41a7ab4","商业分析职业技能基础 (微软与领英联合制作)",4,0
"CPID","human-resources-foundations-by-the-chartered-institute-of-personnel-and-development-cipd-and-linkedin","Human Resources Foundations Professional Certificate by the Chartered Institute of Personnel and Development (CIPD) and LinkedIn",228,0
"Kong","microservices-foundations-professional-certificate-by-kong","Microservices Foundations Professional Certificate by Kong",60,45
"Microsoft","generative-ai-for-sales-with-microsoft-365-copilot-professional-certificate","Generative AI for Sales with Microsoft 365 Copilot Professional Certificate",73,49
"American-Negotiation-Institute","negotiation-professional-certificate-by-american-negotiation-institute","Negotiation Professional Certificate by American Negotiation Institute",368,247
"Linkedin","building-ai-products-understanding-the-workflow-professional-certificate-by-linkedin-learning","Building AI Products: Understanding the Workflow Professional Certificate by LinkedIn Learning",52,36
"Twilio","twilio-programmable-messaging-and-voice-professional-certificate","Twilio Programmable Messaging and Voice Professional Certificate",10,6
"Microsoft-Brazil","fundamentos-para-uma-carreira-em-ia-generativa-por-microsoft-e-linkedin","Fundamentos para uma Carreira em IA Generativa por Microsoft e LinkedIn",74,9
"Microsoft-French","se-preparer-au-metier-d-analyste-de-donnees-par-microsoft-et-linkedin-19745848","Se preparer au metier d analyste de donnees par Microsoft et LinkedIn",25,0
"CSCMP","cscmp-supply-chain-foundations-inventory-management-professional-certificate","CSCMP Supply Chain Foundations: Inventory Management Professional Certificate",132,81
"OpenEDG-PI","openedg-python-institute-programming-with-python-professional-certificate","OpenEDG Python Institute: Programming with Python Professional Certificate",135,98
"Microsoft","microsoft-security-essentials-professional-certificate-by-microsoft-and-linkedin","Microsoft Security Essentials Professional Certificate by Microsoft and LinkedIn",577,378
"Adobe","essential-skills-in-adobe-indesign-professional-certificate","Essential Skills in Adobe InDesign Professional Certificate",28,0
"Microsoft-Mandarin","85ba43ae-62ad-3739-ad0b-e02117754625","使用 Microsoft Copilot 提升工作效率（微软与领英联合制作）",4,0
"Microsoft-Portugese","fundamentos-para-gestao-de-projetos-por-microsoft-e-linkedin","Fundamentos Profissionais de Gestao de Projetos por Microsoft e LinkedIn",21,0
"Microsoft","generative-ai-for-marketing-with-microsoft-365-copilot-professional-certificate","Generative AI for Marketing with Microsoft 365 Copilot Professional Certificate",66,50
"Microsoft-Portugese","fundamentos-de-ia-generativa-para-gerentes-um-conteudo-da-microsoft-e-do-linkedin","Fundamentos de IA Generativa para Gerentes, um conteúdo da Microsoft e do LinkedIn",6,0
"Microsoft-German","kernkompetenzen-fur-ihre-karriere-in-der-systemadministration-von-microsoft-und-linkedin","Kernkompetenzen fur Ihre Karriere in der Systemadministration von Microsoft und LinkedIn",13,0
"Microsoft-Portugese","fundamentos-para-analise-de-negocios-por-microsoft-e-linkedin","Fundamentos Profissionais de Analise de Negocios por Microsoft e LinkedIn",12,0
"Wolfram","machine-learning-statistical-foundations-professional-certificate-by-wolfram-research","Machine Learning Statistical Foundations Professional Certificate by Wolfram Research",64,39
"Microsoft-Japanese","ad464fff-e701-3d53-950a-6fa68ab7df12","Microsoft Copilotで生産性を高める by Microsoft x LinkedIn",10,1
"Microsoft-Spanish","fundamentos-de-la-carrera-de-administracion-de-sistemas-de-microsoft-y-linkedin","Fundamentos de la carrera de administracion de sistemas de Microsoft y LinkedIn",96,1
"Microsoft-Japanese","f4cf5dad-0431-3da6-b1f1-cf9fb3dca254","サステナビリティ技術の基礎知識 by Microsoft x LinkedIn",1,0
"Linkedin","linkedin-learning-human-skills-for-managers-professional-certificate","LinkedIn Learning Human Skills for Managers Professional Certificate",283,1
"Cybrary","penetration-testing-professional-certificate-by-cybrary","Penetration Testing Professional Certificate by Cybrary",46,32
"Linkedin","building-ai-products-prototyping-essentials-professional-certificate-by-linkedin-learning","Building AI Products: Prototyping Essentials Professional Certificate by LinkedIn Learning",27,16
"Aha!","aha-product-management-professional-certificate","Aha! Product Management Professional Certificate",453,327
"Google","prepare-for-the-google-cloud-digital-leader-certification","Prepare for the Google Cloud Digital Leader Certification",25,8
"CSCMP","cscmp-supply-chain-foundations-procurement-professional-certificate","CSCMP Supply Chain Foundations: Procurement Professional Certificate",278,180
"Microsoft-Spanish","fundamentos-profesionales-del-desarrollo-de-software-por-microsoft-y-linkedin","Fundamentos profesionales del desarrollo de software por Microsoft y LinkedIn",74,0
"Microsoft-Spanish","desarrolla-tus-habilidades-de-productividad-con-ia-generativa-con-microsoft-y-linkedin","Desarrolla tus habilidades de productividad con IA generativa con Microsoft y LinkedIn",339,32
"Microsoft-Spanish","fundamentos-profesionales-en-tecnologia-sostenible-por-microsoft-y-linkedin","Fundamentos profesionales en tecnologia sostenible por Microsoft y LinkedIn",33,0
"DevOps Institute","devops-institute-cert-prep-devops-leader-dol","DevOps Institute Cert Prep: DevOps Leader (DOL)",14,2
"Wolfram","statistics-foundations-professional-certificate-by-wolfram-research","Statistics Foundations Professional Certificate by Wolfram Research",77,52
"Microsoft-Spanish","fundamentos-profesionales-de-gestion-de-proyectos-por-microsoft-y-linkedin","Fundamentos profesionales de la gestion de proyectos por Microsoft y LinkedIn",94,0
"Microsoft-Spanish","fundamentos-profesionales-de-ia-generativa-por-microsoft-y-linkedin","Fundamentos profesionales de IA generativa por Microsoft y LinkedIn",262,0
"Microsoft-Spanish","fundamentos-profesionales-de-asistencia-administrativa-por-microsoft-y-linkedin","Fundamentos profesionales de asistencia administrativa por Microsoft y LinkedIn",190,0
"Microsoft-French","se-preparer-au-metier-de-developpeur-developpeuse-par-microsoft-et-linkedin","Se preparer au metier de developpeur/ developpeuse par Microsoft et LinkedIn",18,0
"Microsoft-German","erhohen-sie-ihre-produktivitat-mit-generativer-ki-bereitgestellt-von-microsoft-und-linkedin","Erhöhen Sie Ihre Produktivität mit generativer KI bereitgestellt von Microsoft und LinkedIn",26,0
"Procore","procore-construction-management-professional-certificate","Procore Construction Management Professional Certificate",202,159
"Microsoft-French","se-preparer-au-metier-de-chef-cheffe-de-projet-par-microsoft-et-linkedin","Se preparer au metier de chef / cheffe de projet par Microsoft et LinkedIn",22,0
